title,descripcion,salario,experience_text,url,company,location,source,salario_numerico,seniority,years_required,skills
Analista De Implementación Y Soporte Erp,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=15,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
"Analista Contable Y De Nómina, Santiago, Las Condes",nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=14,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Asesor De Servicio Automotriz,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=14,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Tesorería – Grupo Progestión,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=14,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Customer Success Manager,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=14,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Remuneraciones Y Gestión De Personas,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=14,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista Departamento Bienestar.,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=14,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Remuneraciones,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=14,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Satisfacción Del Cliente,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=14,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista Técnico De Inventario (Alimentos Congelados),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=14,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista Técnico De Seguridad,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=14,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Tax Analyst Semi Senior,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0,Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Rr.Hh (Rubro Industrial) – Santiago,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Impuesto Con Inglés Avanzado,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Impuesto (Tax Analyst),nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Tax Analyst,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista De Contabilidad,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0,Semi Senior,0,"['Python', 'SQL', 'Machine Learning']"
Consultor Tributario Senior,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0,Senior,0,"['Python', 'SQL', 'Machine Learning']"
Analista Junior De Contabilidad,nan,nan,nan,https://cl.computrabajo.com/trabajo-de-consultor-erp?p=13,No especificada,Chile,Computrabajo,0.0,Junior,0,"['Python', 'SQL', 'Machine Learning']"
